"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get exercises by course id","LMS service","Mon Nov 17 17:18:12 UTC 2025","passed","Mon Nov 17 17:18:12 UTC 2025","Get entity","Exercises","",""
"","527","Create new user","LMS service","Mon Nov 17 17:18:17 UTC 2025","passed","Mon Nov 17 17:18:17 UTC 2025","Create entity","Users","",""
"","52","Create with empty file name","LMS service","Mon Nov 17 17:18:15 UTC 2025","passed","Mon Nov 17 17:18:15 UTC 2025","Validate entity","Files","",""
"","16","Get user","LMS service","Mon Nov 17 17:18:18 UTC 2025","passed","Mon Nov 17 17:18:18 UTC 2025","Get entity","Users","",""
"","31","Create exercise","LMS service","Mon Nov 17 17:18:10 UTC 2025","passed","Mon Nov 17 17:18:10 UTC 2025","Create entity","Exercises","",""
"","25","Delete exercise","LMS service","Mon Nov 17 17:18:12 UTC 2025","passed","Mon Nov 17 17:18:12 UTC 2025","Delete entity","Exercises","",""
"","304","Get courses by user id","LMS service","Mon Nov 17 17:18:08 UTC 2025","passed","Mon Nov 17 17:18:08 UTC 2025","Get entity","Courses","",""
"","304","Create file","LMS service","Mon Nov 17 17:18:13 UTC 2025","passed","Mon Nov 17 17:18:14 UTC 2025","Create entity","Files","",""
"","22","Delete file","LMS service","Mon Nov 17 17:18:16 UTC 2025","passed","Mon Nov 17 17:18:16 UTC 2025","Delete entity","Files","",""
"","17","Get file with incorrect file id","LMS service","Mon Nov 17 17:18:16 UTC 2025","passed","Mon Nov 17 17:18:16 UTC 2025","Validate entity","Files","",""
"","53","Create file with empty directory","LMS service","Mon Nov 17 17:18:15 UTC 2025","passed","Mon Nov 17 17:18:15 UTC 2025","Validate entity","Files","",""
"","18","Get file","LMS service","Mon Nov 17 17:18:14 UTC 2025","passed","Mon Nov 17 17:18:14 UTC 2025","Get entity","Files","",""
"","557","Login","LMS service","Mon Nov 17 17:18:07 UTC 2025","passed","Mon Nov 17 17:18:08 UTC 2025","Login","Authentication","",""
"","28","Update exercise","LMS service","Mon Nov 17 17:18:11 UTC 2025","passed","Mon Nov 17 17:18:11 UTC 2025","Update entity","Exercises","",""
"","289","Create new user","LMS service","Mon Nov 17 17:18:16 UTC 2025","passed","Mon Nov 17 17:18:16 UTC 2025","Create entity","Users","",""
"","521","Create new user","LMS service","Mon Nov 17 17:18:16 UTC 2025","passed","Mon Nov 17 17:18:17 UTC 2025","Create entity","Users","",""
"","35","Create course","LMS service","Mon Nov 17 17:18:09 UTC 2025","passed","Mon Nov 17 17:18:09 UTC 2025","Create entity","Courses","",""
"","19","Get exercise","LMS service","Mon Nov 17 17:18:11 UTC 2025","passed","Mon Nov 17 17:18:11 UTC 2025","Get entity","Exercises","",""
"","307","Update course","LMS service","Mon Nov 17 17:18:09 UTC 2025","passed","Mon Nov 17 17:18:10 UTC 2025","Update entity","Courses","",""
